address,brand,business_legal_name,country,currency,email_address,full_product_description,in_stock,item_number,keyword,listing_id,listing_title,listing_url,offers_count,phone_number,price,product_images,product_sku,seller_email,seller_name,seller_profile_picture,seller_profile_url,seller_rating,state_province,total_reviews,units_available,zip_code
2143 Camden Ave Los Angeles CA 90025 US,Dell,KESHIAA LLC,US,USD,keshia@keshiaa.com,Dell XPS 13 Touchscreen laptop - Intel Core i7 - QHD+ (3200 x 1800),True,16667370992,Dell XPS laptop,16667370992,"Dell XPS 13 9360 Laptop (13.3"" InfinityEdge TouchScreen Quad HD+ (3200 x 1800), Intel 8th Gen Quad-Core i7-8550U, 512GB PCIe, 16GB RAM, Backlit Keyboard, Windows 10) Silver",https://www.walmart.com/ip/Dell-XPS-13-9360-Laptop-13-3-InfinityEdge-TouchScreen-Quad-HD-3200-x-1800-Intel-8th-Gen-Quad-Core-i7-8550U-512GB-PCIe-16GB-RAM-Backlit-Keyboard-Windo/16667370992?classType=REGULAR,1,6058006846,834.99,https://i5.walmartimages.com/seo/Dell-XPS-13-9360-Laptop-13-3-InfinityEdge-TouchScreen-Quad-HD-3200-x-1800-Intel-8th-Gen-Quad-Core-i7-8550U-512GB-PCIe-16GB-RAM-Backlit-Keyboard-Windo_31c23f0f-4bd0-4fd8-84db-d23151815e29.781ca30ccc659e1639957e2418fddce9.jpeg|https://i5.walmartimages.com/asr/83c8642c-c098-44fe-a4eb-e74501309317.7b65d4d65c7fb6ccdd9f27c6b2f32f54.jpeg|https://i5.walmartimages.com/asr/5aa5bdc9-afde-43e1-829d-ecff7fe11549.f7654f02b0219f3fe73201157c0e37bc.jpeg,,keshia@keshiaa.com,KESHIAA LLC,,https://www.walmart.com/seller/101350745,4.5,CA,55,,90025
1445 Woodmont Ln NW #814 Atlanta GA 30318 US,Dell,Int-Electronics,US,USD,hr@intricate.xyz,"XPS LaptopsPower your passions with premium, precision-crafted laptops with innovative features.",True,5388337701,Dell XPS laptop,5388337701,"Dell XPS 14 9440 14.5"" Notebook, Full HD Plus, Intel Core Ultra 7 155H, Intel Evo Platform, 16 GB, 512 GB SSD, English Keyboard, Platinum",https://www.walmart.com/ip/Dell-XPS-14-9440-14-5-Notebook-Full-HD-Plus-Intel-Core-Ultra-7-155H-Intel-Evo-Platform-16-GB-512-GB-SSD-English-Keyboard-Platinum/5388337701?classType=REGULAR,1,6783584519,1737,https://i5.walmartimages.com/seo/Dell-XPS-14-9440-14-5-Notebook-Full-HD-Plus-Intel-Core-Ultra-7-155H-Intel-Evo-Platform-16-GB-512-GB-SSD-English-Keyboard-Platinum_e3e6caf2-4c94-4cec-9029-1daa73ec7b33.b213a578e2928458b123f75cc11e1f65.jpeg|https://i5.walmartimages.com/asr/03363a41-5085-45b8-a5ee-c8cba927f4aa.1379de55dafd563e45f19e3447816675.jpeg|https://i5.walmartimages.com/asr/4db43c7c-9c37-4112-95e5-6f35459cc156.dacdf4b76b47109e99f5e93641be645f.jpeg|https://i5.walmartimages.com/asr/f3826b71-50a7-497c-8faf-4dcb0f5fcd80.4bb10e3ad9dac6806d08436abb6a6159.jpeg|https://i5.walmartimages.com/asr/599a9cdb-f8ea-4d42-bd50-4c32cc0a1134.0154ce3b7cdc8933ec8884667111159a.jpeg|https://i5.walmartimages.com/asr/5dc2bea8-0b7e-47d3-b950-449f4dc12c42.20d78d1a80e66b9aa7f32c8813ad805b.jpeg|https://i5.walmartimages.com/asr/386be42e-56b2-474c-9915-ea5e4331ebb1.6adc5aab6f0640862b51a0edcf8f0a33.jpeg|https://i5.walmartimages.com/asr/235a6ba8-7e4a-413a-8bf4-7508b1f48325.ce48d45c57bc991d75a27c308052c57c.jpeg|https://i5.walmartimages.com/asr/79c15880-8fc9-4f50-ab11-724c17ed4c78.d1dda39fe17312a3f2b3f3d19bae4238.jpeg|https://i5.walmartimages.com/asr/d8f24d8d-d03b-4110-980a-2f392a792abf.b197187ef4d9afadf08703b439448275.jpeg|https://i5.walmartimages.com/asr/2e51047f-3207-4538-adfc-d4a739bc0212.600434274665e156f10507d4f885f40c.jpeg|https://i5.walmartimages.com/asr/03b60ab6-efc7-4374-b98f-c2174c1682a6.d1089d2af3bafc3bf15981469eba93bc.jpeg|https://i5.walmartimages.com/asr/a0cd8b8e-f94b-4266-a65b-b7270cc154d6.362d884889aff36e47c6a8de6cf02e34.jpeg,,hr@intricate.xyz,Int-Electronics,,https://www.walmart.com/seller/102628407,,GA,,,30318
194 Lancaster Terrace Brookline MA 02446 US,Dell,Store Wolf,US,USD,jason@storewolf.com,"DELL XPS 9300 Laptop 13.3"" Touch Screen White
i7 i7-1065G7 4-Core Processor 1.3GHz (3.9GHz With Turbo Boost)
512GB SSD & 16GB RAM Memory
FHD+ 1920x1200 resolution Touch with an integrated Webcam. The graphics chip is integrated on the computer's processor.
Win 11 Pro comes preinstalled",True,15096806992,Dell XPS laptop,15096806992,"Restored Dell XPS 9300 Laptop Touch | 13.3"" 1920x1200 FHD+ | Core i7 - 1065G7 - 512GB SSD Hard Drive - 16GB RAM | 4 cores @ 3.9 GHz Win 11 Pro White",https://www.walmart.com/ip/Dell-XPS-9300-Laptop-Touch-13-3-1920x1200-FHD-Core-i7-1065G7-512GB-SSD-Hard-Drive-16GB-RAM-4-cores-3-9-GHz-Win-11-Pro-White/15096806992?conditionGroupCode=2&classType=REGULAR,1,6178551683,1587.06,https://i5.walmartimages.com/seo/Restored-Dell-XPS-9300-Laptop-Touch-13-3-1920x1200-FHD-Core-i7-1065G7-512GB-SSD-Hard-Drive-16GB-RAM-4-cores-3-9-GHz-Win-11-Pro-White-Refurbished_314267d7-67e8-45c0-b36a-455da6501bc2.75f0fc6c6fe2ea813b58f1e4b6fc30d7.jpeg|https://i5.walmartimages.com/asr/1340a4d6-03bb-4a36-8726-eb3f6a325e59.65ea2e09ed2d126ed24d5ae7d6cee197.jpeg|https://i5.walmartimages.com/asr/3c53ae27-9736-44ba-952e-f8532ea63213.db47c653686150321567eefff47b16bc.jpeg|https://i5.walmartimages.com/asr/7fe828ef-f22d-4943-bfbd-65e0131682bf.5c04d1f0f1bcb60624e8ce8ae2ce3877.jpeg,,jason@storewolf.com,Store Wolf,https://i5.walmartimages.com/asr/094b7ab2-ff0a-469b-96c2-18a07874e51a.9f572d892f46485f1f518f556d6de72d.png,https://www.walmart.com/seller/101026872,1,MA,3,,02446
194 Lancaster Terrace Brookline MA 02446 US,Dell,Store Wolf,US,USD,jason@storewolf.com,"DELL XPS 9440 Laptop 14.5"" Non-Touch Screen Grey
Core Ultra 7 Core Ultra 7-155H 16-Core Processor (4.8GHz With Turbo Boost)
512GB SSD & 16GB RAM Memory
FHD+ 1920x1200 resolution Non-Touch with an integrated Webcam. The graphics chip is integrated on the computer's processor.
Win 11 Pro comes preinstalled",True,13966067618,Dell XPS laptop,13966067618,"Restored Dell XPS 9440 Laptop (2024) | 14.5"" 1920x1200 FHD+ | Core Ultra 7 - 155H - 512GB SSD Hard Drive - 16GB RAM | 16 cores @ 4.8 GHz Win 11 Pro Silver",https://www.walmart.com/ip/Dell-XPS-9440-Laptop-2024-14-5-1920x1200-FHD-Core-Ultra-7-155H-512GB-SSD-Hard-Drive-16GB-RAM-16-cores-4-8-GHz-Win-11-Pro-Silver/13966067618?conditionGroupCode=2&classType=REGULAR,1,6178551683,1876.61,https://i5.walmartimages.com/seo/Restored-Dell-XPS-9440-Laptop-2024-14-5-1920x1200-FHD-Core-Ultra-7-155H-512GB-SSD-Hard-Drive-16GB-RAM-16-cores-4-8-GHz-Win-11-Pro-Silver-Refurbished_e9a91296-38ae-4d85-9a3f-d84e2c1c2016.db4e1f453275fce10b3d0a4f31d5cfdf.jpeg|https://i5.walmartimages.com/asr/963d2c2d-0218-4020-b502-98b6e474edff.817e4a70e891e0d67ec3e485399e4fcd.jpeg|https://i5.walmartimages.com/asr/245f7aef-8438-48cf-98a0-b47dd3353e5a.170160819cf4ea7daa9992395818c218.jpeg|https://i5.walmartimages.com/asr/90526a30-4a06-4d9d-94a0-73a6495ac75e.47e0c57eb2260c73e3ec43f70d34ce17.jpeg,,jason@storewolf.com,Store Wolf,https://i5.walmartimages.com/asr/094b7ab2-ff0a-469b-96c2-18a07874e51a.9f572d892f46485f1f518f556d6de72d.png,https://www.walmart.com/seller/101026872,1,MA,3,,02446
28610 Cranford Sage Ln katy TX 77494 US,Dell,Cmi Link Force,US,USD,cmilinkforce@gmail.com,"Supercharged Performance. AI ready.

Our most powerful XPSfor your most complex projects, featuring up to 80W of performance in a 16.3-inch form. Features up to NVIDIA® GeForce RTX™ 4070 graphics and Intel® Core Ultra 7 processors.",True,14277454123,Dell XPS laptop,14277454123,"Dell XPS 16.3"" Laptop, Intel Core Ultra 7 155H, 1TB SSD, Windows 11 Home, 9640",https://www.walmart.com/ip/Dell-XPS-16-16-3-FHD-Laptop-Intel-Core-Ultra-7-Evo-Edition-16GB-Memory-NVIDIA-GeForce-RTX-4050-1TB-SSD-Platinum/14277454123?classType=REGULAR,1,8325788620,2399,https://i5.walmartimages.com/seo/Dell-XPS-16-16-3-FHD-Laptop-Intel-Core-Ultra-7-Evo-Edition-16GB-Memory-NVIDIA-GeForce-RTX-4050-1TB-SSD-Platinum_a33def59-fd9b-4905-8012-04aad2b18840.c69ca17232dede14838c507d4029c0c7.jpeg|https://i5.walmartimages.com/asr/159fecdc-3d9c-49cb-8821-bfd1070aa1ff.bd493eaefa59a90f0ee4860cf667fcf2.jpeg|https://i5.walmartimages.com/asr/223426d0-e31b-4fe0-9369-5d041597dac8.82abcb81058845589f6e3db20e78b343.jpeg,,cmilinkforce@gmail.com,Cmi Link Force,https://i5.walmartimages.com/asr/356ed803-e5bd-42d1-832d-fcfaeb9e6a01.71401a1616044e9ea7ec9be7944c9e3a.jpeg,https://www.walmart.com/seller/101082765,3.5,TX,19,,77494
194 Lancaster Terrace Brookline MA 02446 US,Dell,Store Wolf,US,USD,jason@storewolf.com,"Features






Operating system
Available with Windows 11.


Masterful craftsmanship
The XPS 15 is made with premium materials and is precision cut to achieve an elegant finish look—all in a durable, lightweight design.


Your vision. More vivid.
A perfect balance of power and portability, the XPS 15 laptop delivers stellar visuals and incredible sound. Your talents now have a device to stream videos, edit photos or create your next masterpiece.


Take control of your world
Set your priorities and organize your navigation with MyDell. MyDell is our AI-based optimization software that delivers intelligent features to automatically fine-tune your PC for excellent audio, video, battery and performance.


Premium support you can trust
XPS with Support Services helps you stay connected and productive with fast, dedicated expert help whenever you need it. Get one year of Premium Support for personal use or ProSupport for businesses included when you purchase an XPS laptop.


Incredible sound for mixing or listening
Bring your music, movie or game into an immersive 3D soundscape with our quad speaker design and Waves Nx® 3D Audio for Speakers for immersive sound. The XPS 15 features Waves Nx® 3D audio for Speakers tuned by multi-Grammy Award® winning producer, Jack Joseph Puig.


Eco wise
Our packaging trays consist of ocean-bound plastics. 25% percent of the material consists of ocean plastics collected from coastal areas, while the remaining 75% is made up of other recycled plastics.XPS 15 is ENERGY STAR® certified and EPEAT® Gold registeredwww.epeat.net for registration status by country."" id=""ILiahSPAN_230""> . And 90% of the laptop’s parts can be easily recycled or reused.


Stunning display
Get immersed in content with bright, color-rich panels with high resolution, with more viewing space to keep you productive. Integrated Eyesafe® display technology reduces harmful blue light while maintaining vivid color. An optional OLED display makes colors pop against a true black background. The stunning 4-sided InfinityEdge display enables a large 16:10 screen and 92.9% screen-to-body ratio.


Fast log on and connectivity
With a variety of technologies, the new XPS 15 enables more productivity, faster. Log on instantly with built-in lid sensor that powers up the laptop in milliseconds. Plus, log in securely thanks to facial recognition or fingerprint reader and Windows Hello.With Dell Pairhttps://www.dell.com/support/kbdoc/000201693."" id=""ILiahSPAN_195""> , you can now connect your Dell Bluetooth devices effortlessly and securelyhttps://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-121r2-upd1.pdf."" id=""ILiahSPAN_200""> in just one click .",True,5238145562,Dell XPS laptop,5238145562,"Dell XPS 15.6"" Laptop, Intel, 16GB, 512GB SSD",https://www.walmart.com/ip/Dell-XPS-15-6-Laptop-Intel-16GB-512GB-SSD/5238145562?classType=VARIANT,1,6178551683,1847.99,https://i5.walmartimages.com/seo/Dell-XPS-15-6-Laptop-Intel-16GB-512GB-SSD_231d0c76-612d-4899-974c-20e54e3cc42c.a0ef8fbbebf9523bb9d35ea569cb77a8.jpeg,,jason@storewolf.com,Store Wolf,https://i5.walmartimages.com/asr/094b7ab2-ff0a-469b-96c2-18a07874e51a.9f572d892f46485f1f518f556d6de72d.png,https://www.walmart.com/seller/101026872,1,MA,3,,02446
44 S Munn Ave  East Orange NJ 07018 US,Dell,Is2possible Enterprises,US,USD,mikel@is2possibleent.com,"XPS Laptops

Power your passions with premium, precision-crafted laptops with innovative features",True,15164714587,Dell XPS laptop,15164714587,"Dell XPS 14 9440 - Intel Core Ultra 7 - 155H / up to 4.8 GHz - Evo - Win 11 Pro - Intel Arc Graphics - 32 GB RAM - 1 TB SSD NVMe - 14.5"" AMOLED touchscreen 3200 x 2000 (3.2K) @ 120 Hz - Wi-Fi 6E - platinum - BTS - with 1 Year Basic Onsite Service after remote diagnosis with Hardware-Only Support - Disti SnS",https://www.walmart.com/ip/Dell-XPS-14-9440-Intel-Core-Ultra-7-155H-4-8-GHz-Evo-Win-11-Pro-Intel-Arc-Graphics-32-GB-RAM-1-TB-SSD-NVMe-14-5-AMOLED-touchscreen-3200-x-2000-3-2K-1/15164714587?classType=REGULAR,1,9176529046,2044.99,https://i5.walmartimages.com/seo/Dell-XPS-14-9440-Intel-Core-Ultra-7-155H-4-8-GHz-Evo-Win-11-Pro-Intel-Arc-Graphics-32-GB-RAM-1-TB-SSD-NVMe-14-5-AMOLED-touchscreen-3200-x-2000-3-2K-1_d819d7c8-cae2-4a64-aaf0-d220035df49c.af087c646d549c1ec62a12e57911cd7e.jpeg|https://i5.walmartimages.com/asr/9df21a12-db88-4b94-b4f9-fb08041769b7.e8f20c949c1ef6682c58a3278b3f1248.jpeg|https://i5.walmartimages.com/asr/6092337e-c7d9-4def-88fc-5e0569aa3bb6.57d25c9294ad6e28a957f45460576923.jpeg|https://i5.walmartimages.com/asr/9dfcdc71-405c-4269-82de-a1f8b48c5664.e2671667059e9cbf3e84aa95fe1e6a76.jpeg|https://i5.walmartimages.com/asr/f9a850a5-10fa-4914-a9c0-fdd9445fb89b.eef30c4e6e5f3d95040bfe28c3bec926.jpeg|https://i5.walmartimages.com/asr/aea2f5f2-d93d-4b3c-a3c0-5edb42ea4cf9.331b963d7bf79a4d80a5524d9b637c95.jpeg|https://i5.walmartimages.com/asr/bd91e486-729e-4fda-9c9c-e0aa4d49ee8b.db2676bc57adf04ac19cabed8fdc10b2.jpeg|https://i5.walmartimages.com/asr/f6f9e862-33cd-47ff-a3bb-5e3c65b32252.a052d574c1ca39bdc68938e01cc08cd2.jpeg|https://i5.walmartimages.com/asr/e4dec54d-8596-47c3-804c-151f932ea5d3.2ca0968e281b367825329eb06638cd21.jpeg,,mikel@is2possibleent.com,Is2possible Enterprises,https://i5.walmartimages.com/asr/3f9861db-035b-416b-b394-9ce81de8bcdb.e0ae1b0c861a5f7eb6553ac099bf2109.png,https://www.walmart.com/seller/101544597,,NJ,,,07018
28610 Cranford Sage Ln katy TX 77494 US,Dell,Cmi Link Force,US,USD,cmilinkforce@gmail.com,"Overview

Dell inspiron 16 touchscreen laptop for college students powered by the new Intel Core 7 150U (10-Core) processor and fast wireless Wi-Fi 6E for high performance, instant responsiveness to get things done fast; Perfect for learning or working anywhere;

Dell laptop touchscreen windows 11 features 16inch FHD+ touch display shows come to life in true-to-life color and crisp, clear details;

Dell business laptop Windows 11 laptop with Microsoft 365: Bring your ideas to life. Your creativity now gets a boost with Microsoft 365. Office - Word, Excel, and PowerPoint. One year subscription included;

Dell laptop computer with Backlit Keyboard allows you to enjoy comfortable and accurate typing, even in dim lighting;

Dell inspiron 16 plus with Fingerprint reader for quick secure sign-in;

Dell 16 plus laptop i7 with HDMI, USB Type-C port, making connection easier and faster;

Work laptop office pc portatil features 10.5hours long battery life and fast charge design let you get work done without worrying about recharging.

Specification

Operating System: Windows 11

Display: 16"" FHD+ (1920 x 1200) 300-Nits Touchscreen with ComfortView Plus Support

Processor: Intel Core 7 150U (10-Core)

Graphics: Integrated Intel Graphics

Network & Communication: Wireless Wi-Fi 6E + Bluetooth

Keyboard: Ice Blue Backlit Keyboard; Fingerprint Reader

Audio: Waves MaxxAudio Pro, Supports Atmos Core

Webcam: 1080p FHD Webcam with Built-in Privacy Shutter and Dual Array Microphones

Battery: 4-cell Li-ion Polymer, 10.5 hours maximum battery run time

Ports:
1x USB 3.2 Gen 2 Type-C (DisplayPort and Power Delivery);
2x USB 3.2 Gen 1 Type-A;
1x HDMI 1.4;
1x Universal Audio Jack;
1x SD Card Reader

Additional Information:
Dimension: 14.05""W x 9.82""D x 0.64""H;
Weight: 4.12 lbs",True,14340769328,Dell XPS laptop,14340769328,"Dell XPS 13 13.4"" Touchscreen Laptop, Qualcomm Snapdragon X Elite, 512GB SSD, Windows 11 Home, 9345",https://www.walmart.com/ip/Dell-XPS-13-Copilot-PC-13-4-OLED-Touch-Screen-Laptop-Snapdragon-X-Elite-w-Dual-Core-Boost-16GB-Memory-512GB-SSD-Graphite/14340769328?classType=VARIANT,1,8325788620,1289,https://i5.walmartimages.com/seo/Dell-XPS-13-Copilot-PC-13-4-OLED-Touch-Screen-Laptop-Snapdragon-X-Elite-w-Dual-Core-Boost-16GB-Memory-512GB-SSD-Graphite_c4c5299d-229c-42a1-a37f-d68604dc0ed6.e98a00a1adc65d01e27440ee0aaf6805.webp|https://i5.walmartimages.com/asr/43c9baab-1d62-44ac-9503-748583f789fa.519b4531e9ce478534d494724a478dfc.jpeg|https://i5.walmartimages.com/asr/3f1d7a0b-afaa-494c-bf5f-144dbe309d5a.0575642f93b62e440d46d79efe9934f8.jpeg,,cmilinkforce@gmail.com,Cmi Link Force,https://i5.walmartimages.com/asr/356ed803-e5bd-42d1-832d-fcfaeb9e6a01.71401a1616044e9ea7ec9be7944c9e3a.jpeg,https://www.walmart.com/seller/101082765,3.5,TX,19,,77494
3000 Village Run Rd Wexford PA 15090 US,Dell,Premium Electronics Shop,US,USD,customerservice@e-goodies.com,"General Product Name XPS 13 13.4” LCD FHD+ Laptop - Intel Core Ultra 7 Copilot+ PC with 16GB Memory – 512GB SSD Brand Dell Model Number XPS9350-7715BLK-PUS Year of Release 2024 Color Graphite Color Category Gray Display Display Type LCD Screen Type Not Applicable Screen Size 13.14 inches Screen Resolution 1920 x 1200 (Full HD+) Touch Screen No Refresh Rate 120Hz Brightness 500 nits Processor Processor Brand Intel Processor Model Intel Core Ultra 7 Series 2 Processor Model Number 256V CPU Base Clock Frequency 2.2 gigahertz Number of CPU Cores 8-core CPU Cache Memory Level L2 L2 Cache 12 megabytes Neural Processing Unit (NPU) No Storage Storage Type SSD Total Storage Capacity 512 gigabytes Solid State Drive Capacity 512 gigabytes Solid State Drive Interface PCIe Memory System Memory (RAM) 16 gigabytes Type of Memory (RAM) LPDDR5X Graphics Graphics Type Integrated GPU Brand Intel Graphics Intel Arc Compatibility Operating System Windows 11 Home Connectivity Display Connector(s) Display connection via USB port USB Ports 2 x USB-C Number of USB Ports (Total) 2 Headphone Jack No Microphone Input Yes Wireless Connectivity Bluetooth, Wi-Fi Power Battery Life (up to) 13 hours Battery Cells 3-cell Battery Type Lithium-ion Camera Front-Facing Camera Yes Built-In Microphone Yes Features 2-in-1 Design No Backlit Keyboard Yes Touchpad Type Haptic Windows AI Copilot+ PC Dimensions Product Height 0.6 inches Product Width 11.62 inches Product Depth 7.84 inches Product Weight 2.7 pounds Certifications & Listings ENERGY STAR Certified Yes EPEAT Qualified Yes EPEAT Level Gold Included Stylus Included No Warranty Manufacturer's Warranty - Parts 1 Year Hardware Service with Onsite/In-Home Service After Remote Diagnosis Manufacturer's Warranty - Labor 1 Year Hardware Service with Onsite/In-Home Service After Remote Diagnosis Other UPC 884116429715",True,14959414490,Dell XPS laptop,14959414490,Dell - XPS 13 13.4 LCD FHD+ Laptop - Intel Core Ultra 7 Copilot+ PC with 16GB Memory  512GB SSD - Graphite,https://www.walmart.com/ip/Dell-XPS-13-13-4-LCD-FHD-Laptop-Intel-Core-Ultra-7-Copilot-PC-with-16GB-Memory-512GB-SSD-Graphite/14959414490?classType=REGULAR,1,8143039268,1528.15,https://i5.walmartimages.com/seo/Dell-XPS-13-13-4-LCD-FHD-Laptop-Intel-Core-Ultra-7-Copilot-PC-with-16GB-Memory-512GB-SSD-Graphite_83dd9794-8efc-46c1-9773-274c90d46b75.a59e8fc97edfd152f3c7d70acb2aef28.jpeg|https://i5.walmartimages.com/asr/e9a57b49-266e-4f58-b482-5ab96ddeb73a.836dc6da52a983bc3a7b9596cf7eb57e.jpeg|https://i5.walmartimages.com/asr/b99b18c9-dd64-4588-8955-5d96de2df9a0.521ad8fbef9188b0f559237c77be1fba.jpeg,,customerservice@e-goodies.com,Premium Electronics Shop,https://i5.walmartimages.com/asr/5aa5332c-536d-4392-85a6-9ebe3fd42328_1.eb9702e24adb6ba207054386a684ea4d.png,https://www.walmart.com/seller/8411,3.1,PA,18,,15090
PO Box431 WARRINGTON PA 18976 US,Dell,"Consolidated CD-ROM, Inc",US,USD,gary@computerdealsdirect.com,"Supercharged Performance. AI ready. Our most powerful XPS for your most complex projects, featuring up to 80W of performance in a 16.3-inch form. Features up to NVIDIA® GeForce RTX™ 4070 graphics and Intel® Core Ultra 7 processors.",True,5729951601,Dell XPS laptop,5729951601,"Dell XPS XPS96406CVC6 16 9640 16.3"" UHD+ - Intel Core Ultra 9 185H 5.1GHz (16 Core) - 32GB - 1TB SSD - GeForce RTX 4060 8GB GDDR6 - Windows 11 Pro - Platinum - Notebook",https://www.walmart.com/ip/Dell-XPS-XPS96406CVC6-16-9640-16-3-UHD-Intel-Core-Ultra-9-185H-5-1GHz-16-Core-32GB-1TB-SSD-GeForce-RTX-4060-8GB-GDDR6-Windows-11-Pro-Platinum-Noteboo/5729951601?classType=REGULAR,1,2153433452,0,https://i5.walmartimages.com/seo/Dell-XPS-XPS96406CVC6-16-9640-16-3-UHD-Intel-Core-Ultra-9-185H-5-1GHz-16-Core-32GB-1TB-SSD-GeForce-RTX-4060-8GB-GDDR6-Windows-11-Pro-Platinum-Noteboo_41ad3158-9116-4968-97fa-3d2cfa655d89.8148da07bbc71925bc27dcdda21aefa2.jpeg|https://i5.walmartimages.com/asr/8961bb00-8487-455d-a93b-ebb645b2d5b7.a15446836d32b76ac1bee17e5af97ccb.jpeg|https://i5.walmartimages.com/asr/006e0f92-478d-447d-a43e-49a2fe4bad8f.24e244b4c31a6675e55232cd9443c7a3.jpeg|https://i5.walmartimages.com/asr/7d546281-d25c-4e51-b39e-e3356d0bcf47.0f574fc02057d0d62c4ee4deda06a68e.jpeg|https://i5.walmartimages.com/asr/7b811913-dc13-4046-ac2c-d4e8cb46de8f.ddb18e51790cfd828d85b22ed028eb61.jpeg,,gary@computerdealsdirect.com,"Consolidated CD-ROM, Inc",,https://www.walmart.com/seller/101219151,3,PA,3,,18976
