"file","url","message"
"sp_url_https___www_walmart_com_seller_remedy_82DB98EE096C4AB8918367932DF3B2D2.json","","parse_error"
"sp_url_https___www_walmart_com_seller_hongyuang_co_F137B58FBA254C0EA9644ABCC19EE1B7.json","","parse_error"
"sp_url_https___www_walmart_com_seller_sally_beauty_82D9D988A22C4148B93378460D129E00.json","","parse_error"
"sp_url_https___www_walmart_com_seller_yangco_ltd_A431303E38D44043AE985BF1075B40FD.json","","parse_error"
"sp_url_https___www_walmart_com_seller_wal_warehouse_BC3507AB4CE44402BE4A82BFB9006368.json","","parse_error"
"sp_url_https___www_walmart_com_seller_beauty_bliss_1A0CC83AB7504227A55734313F650B13.json","","parse_error"
"sp_url_https___www_walmart_com_seller_ammery_essence_B38CB175649B4DE39F11A7656D0B049A.json","","parse_error"
"sp_url_https___www_walmart_com_seller_beauty_fashion_7C711EFD9E9645F2BDE091E717DF802C.json","","parse_error"
"sp_url_https___www_walmart_com_seller_epic_essentials_outlet_store_E5396B2280C54E3BAF02B8757891124D.json","","parse_error"
"sp_url_https___www_walmart_com_seller_cuichunli_B5CD25622BBB4A89BEDFCEA702D9BA66.json","","parse_error"
