address,business_legal_name,country,currency,email_address,keyword,listing_id,phone_number,price,seller_name,seller_profile_picture,seller_profile_url,seller_rating,state_province,total_reviews,zip_code
,,,$,,instyler,16849973669,,36.99,cuichunli,,,,,,
,,,$,,instyler,16266913831,,36.99,cuichunli,,,,,,
,,,$,,instyler,928084105,,32.99,GameDreamLLC,,,,,,
,,,$,,instyler,39804291,,21.54, PRIMOVA LLC,,,,,,
,,,$,,instyler,555746083,,34,JinYue xiechangming,,,,,,
,,,$,,instyler,17226668307,,59.07,Hongyuang CO.,,,,,,
,,,$,,instyler,15541601778,,36.99,YangCo.Ltd,,,,,,
,,,$,,instyler,1515182909,,33.39,HGT-TECH,,,,,,
,,,$,,instyler,153379187,,37.99,Highflyer214,,,,,,
,,,$,,instyler,8095671734,,37.55,cuichunli,,,,,,
,,,$,,instyler,17302467305,,59.07,Hongyuang CO.,,,,,,
,,,$,,instyler,16685669308,,37.79,cuichunli,,,,,,
,,,$,,instyler,27159192,,54,Slick Returns,,,,,,
,,,$,,instyler,17415166024,,39.8,Fangjing,,,,,,
,,,$,,instyler,666934596,,19.69,KIPOZI,,,,,,
,,,$,,instyler,242389816,,25.13,Walmart.com,,,,,,
,,,$,,instyler,9970759164,,28.95,JinYue xiechangming,,,,,,
,,,$,,instyler,11118262241,,29.99,SKIMI Direct,,,,,,
,,,$,,instyler,493136398,,38.5,Walmart.com,,,,,,
,,,$,,instyler,15708858704,,44.06,Conqueror Store,,,,,,
