address,business_legal_name,country,currency,email_address,keyword,listing_id,phone_number,price,seller_name,seller_profile_picture,seller_profile_url,seller_rating,state_province,total_reviews,zip_code
,,,$,,instyler,16849973669,,36.99,cuichunli,,,,,,
,,,$,,instyler,16266913831,,36.99,cuichunli,,,,,,
,,,$,,instyler,928084105,,32.99,GameDreamLLC,,,,,,
,,,$,,instyler,39804291,,20.89,MT WHOLESALE,,,,,,
,,,$,,instyler,555746083,,34,JinYue xiechangming,,,,,,
,,,$,,instyler rotating iron,16685669308,,37.79,cuichunli,,,,,,
,,,$,,instyler rotating iron,17226668307,,59.07,Hongyuang CO.,,,,,,
,,,$,,instyler hair dryer,39804291,,20.89,Ammery Essence,,,,,,
,,,$,,instyler hair dryer,14426564277,,219.99,Sally Beauty,,,,,,
,,,$,,instyler hair dryer,1634326621,,222.99,SnagTime LLC,,,,,,
,,,$,,instyler hair dryer,6877458996,,32.37,guguGU-shop,,,,,,
,,,$,,instyler hair dryer,493136398,,38.5,Walmart.com,,,,,,
,,,$,,instyler styling brush,15541601778,,36.99,YangCo.Ltd,,,,,,
,,,$,,instyler dryer,3977129457,,119.98,GoodFindsSTL LLC,,,,,,
,,,$,,instyler dryer,16812704316,,53.99,MSY-Enterprise,,,,,,
,,,$,,instyler accessories,3602645305,,15,TBNC,,,,,,
,,,$,,instyler accessories,5712606563,,26,huangguangming,,,,,,
,,,$,,instyler accessories,1725482322,,3.59,Weisidun,,,,,,
,,,$,,instyler accessories,15136460330,,6.82,Qeena,,,,,,
,,,$,,instyler accessories,17291306839,,41.99,Aorsher Flagship Store,,,,,,
,,,$,,instyler 7x,16464900742,,95.99,QZTXshop01,,,,,,
